Full Name,Short Code,BGA Cat,Exact point,Alt Feet ASL,Lat/Long to WGS84,Channel (MHz),Description & Remarks.,Dist  NMl,Dir, from Main Feature,Grid ref E/N  km & 2 dec,Map,Photo
Kingham,KIM,C,Rail/B4450,279,51 54.098N 001 37.664W,,"Just S of Kingham station, 4 NMl ESE of Stow-on-the-Wold.",17,NW,Oxford,42571 22263,KIM,KIM
Kineton,KIN,C,B4086/B4451,269,52 09.387N 001 30.599W,,"Vill. centre, W of two T junctions.  2 NMl S of Gaydon A/F.",8,NW,Banbury,43362 25102,KIN,KIN
Kippen,KIP,C,B822/B8037,52,56 07.599N 004 10.249W,,Near town centre,8,W,Stirling,26516 69478,KIP,KIP
Kirton-in-lindsey,KIR,C#,Control Tower,203,53 27.955N 000 34.768W,129.98,Trent Valley GC site. Avoid Scampton [Red Arrows practice zone],15,N,Lincoln,49440 39751,KIR,KIR
Kellie Castle,KLE,C,Centre of Castle,204,56 14.235N 002 46.549W,,Country House. 35km E of Portmoak.,16,SSE,Dundee,35201 70524,KLE,KLE
Kilham,KLH,C#,B6351T junction,236,55 35.221N 002 11.018W,,With minor road NE side of Kilham village.  3 Nml W of Millfield gliding site,12,SSW,Berwick,38852 63261,KLH,KLH
Killin,KLN,A,A827/River Dochart,361,56 27.766N 004 19.190W,,"S of village, SW end of Loch Tay",24,NNW,Stirling,25716 73248,KLN,KLN
Kirkby Lonsdale,KLO,A,Bridge,197,54 11.834N 002 35.470W,,A65 bridge over river Lune SE side of town,13,NE,Lancaster,36153 47810,KLO,KLO
Kinlet,KLT,C,B4363 Junction with B4194,418,52 25.146N 002 24.984W,,"B4363 Junction with B4194 at Kinlet Village. 6nm W of Kidderminster, 7nm S of Bridgenorth.",16,NNW,Worcester,37178 28020,KLT,KLT
King's Lynn,KLY,A,A17 Br over River,66,52 44.376N 000 23.119E,,"River Great Ouse, main bridge SW side of town",24,ENE,Peterborough,56113 31844,KLY,KLY
Kentmere,KME,C,Bridge,525,54 25.696N 002 50.217W,,"Bridge over river Kent in village 4 NMl W of Ambleside.  Caution, rugged terrain",23,N,Lancaster,34580 50397,KME,KME
Kirkmichael,KML,A,A924/B950,689,56 43.202N 003 30.005W,,"T junction S side of village, just E of river Ardie",20,N,Perth,30829 75971,KML,KML
Kenmore,KMR,A,A827/River,197,56 35.139N 004 00.119W,,Bridge over river Tay at NE end of Loch Tay,21,NW,Perth,27714 74554,KMR,KMR
Knaresborough,KNA,C,Station,89,54 00.554N 001 28.229W,,"W side of town, SE of Church Tower, 3 NMl NNE of Harrogate",13,W,York,43480 45715,KNA,KNA
Knighton,KNI,C,A488/A4113,299,52 20.637N 003 02.936W,,"Town Centre, few fields. 12 NMl SSW of the Long Mynd",21,NNW,Hereford,32864 27228,KNI,KNI
Knowstone,KNO,D,T junction,690,50 59.686N 003 40.461W,,W end of village 5NMl E of S Molton,16,NNW,Exeter,28259 12304,KNO,KNO
Knighton West,KNW,C,Rail/Road Bridge,862,52 20.496N 003 11.591W,,"Railway bridge over B4356, Between Llanbister Road Station and Llangunllo. 10k West of Knighton.",46,NW,Gloucester,31881 27217,KNW,KNW
Kirkbymoorside,KRB,B,A 170 Roundabout,164,54 15.984N 000 55.829W,,S side of town,19,N,York,46976 48617,KRB,KRB
Kirriemuir,KRM,C,A926/B957,295,56 40.433N 003 00.401W,,"Town centre, just W of church spire",12,N,Dundee,33841 75402,KRM,KRM
Kingston Bagpuize,KSB,A,A415/A420 Roundabout,302,51 41.120N 001 24.743W,,"Prominent roundabout NE end of village, 1.5 NMl SE of Brize Zone, 4 NMl W of Abingdon A/F.",7,SW,Oxford,44072 19867,KSB,KSB
Kirkby Stephen Station,KST,A,Rail bridge over A685,820,54 27.325N 002 22.162W,,1 NMl SW of town,33,SE,Carlisle,37615 50673,KST,KST
Keith,KTH,C,Station,262,57 33.088N 002 57.265W,,N of town,16,SE,Lossiemouth,34298 85166,KTH,KTH
Kilmington,KTN,D,Church,722,51 07.708N 002 19.626W,,Centre of village 3 NMl W of The Park gliding site,17,NE,Yeovil,37721 13663,KTN,KTN
Kinlochewe,KWE,A,A896/A832,100,57 36.269N 005 18.215W,,T junction in village,16,SSW,Ullapool,20272 86197,KWE,KWE
Knightwick,KWK,C,Road/River Bridge,96,52 11.970N 002 23.376W,,A44 Bridge over R Teme Near Knightwick Village,6,W,Worcester,37347 25577,KWK,KWK
Kibworth,KWO,A,A6/Rail,277,52 32.043N 000 58.663W,,Rail bridge over A6 on SE side of village 5 NMl N of HusBos.  Avoid Bruntingthorpe traffic to W,6,S,Leicester,46944 29340,KWO,KWO
Kyleakin,KYL,B,A87 Roundabout,80,57 16.347N 005 44.694W,,"West side of town, SW side of bridge to Isle of Skye at Loch Alsh",33,NW,Fort William,17433 82641,KYL,KYL
Lasham Start Southeast,LA1,D##,Centre of complex of chicken sheds,538,51 09.832N 000 59.906W,,"Southwood Farm, 2 NMl SE of airfield",2,SE,Lasham,47013 14099,LA1,LA1
Lasham Start East,LA2,D##,Concrete Plinth,574,51 11.656N 001 00.639W,,Centre of rectangle of concrete surrounded by woods - Oil Installation,0.5,NE,Lasham,46923 14436,LA2,LA2
Lasham Church,LA3,C##,Spire,600,51 10.692N 001 02.033W,,"Village centre, SW side of airfield",1,SW,Lasham,46763 14255,LA3,LA3
Lasham Start South,LA4,C##,A 339 crossroads,581,51 10.185N 001 02.647W,,Where Lasham/Bentworth road crosses A 339,1,SSW,Lasham,46693 14160,LA4,LA4
Lasham West,LA5,D#,Moundsmere Manor Swimming Pool,548,51 11.098N 001 06.360W,,Pool is immediately W of large country houseW of a large area of woodland,3,W,Lasham,46258 14324,LA5,LA5
Lasham Start North,LA6,D##,Herriard Church Tower,568,51 12.551N 001 03.076W,,"1.5 NMl NNW of airfield, just E of A 339",1.5,NNW,Lasham,46637 14598,LA6,LA6
Lauder,LAD,A,A68/A697,545,55 42.896N 002 44.377W,,"T junction SW side of town 12 NMl NW of Kelso.  Caution, rugged terrain",25,W,Berwick,35363 64708,LAD,LAD
Llanelli East,LAE,A,A484 bridge,15,51 39.741N 004 04.780W,,Roundabout E side of road bridge over estuary of river Loughor E side of town,4,NW,Swansea,25626 19800,LAE,LAE
Langport,LAG,C,A372/Rail,161,51 02.471N 002 49.181W,,A372 br over rly E edge of town. Yeovilton traffic to the SE,9,NW,Yeovil,34263 12719,LAG,LAG
Lairg,LAI,A,A836/A839,280,58 01.450N 004 24.099W,,T junction in village centre,25,ENE,Ullapool,25825 90641,LAI,LAI
Lake Alaw Reservoir,LAL,A#,Centre of Dam Wall,128,53 20.431N 004 26.575W,,"On Isle of Anglesey 12 Nml W of Menai bridge. Avoid traffic from RAF Mona & Valley, and airway to N, in RAF Valley Air Tactics Area (125.225 MHz)",55,W,Chester,23746 38540,LAL,LAL
Lampeter,LAM,B,Bridge,377,52 06.520N 004 04.419W,,A482 bridge over river Teifi SE side of town,28,N,Swansea,25809 24762,LAM,LAM
Langham,LAN,C#,A/F R/Ws 25/21,20,52 56.325N 000 57.487E,,Light aircraft activity on Southern perimeter track and adjacent grass area.,20,NW,Norwich,59888 34202,LAN,LAN
Lapford,LAP,A,Rail/A377,260,50 51.404N 003 48.598W,,A377 bridge over railway SW side of village,14,NW,Exeter,27270 10792,LAP,LAP
Lattrig,LAR,D,Launch point,1200,54 36.844N 003 06.949W,,Expedition hill site 1 NMl NE of Keswick.  1207 ft spot height at W end of launch run,18,SSW,Carlisle,32804 52490,LAR,LAR
Lasham Finish North,LAS,D##,T junction,594,51 11.643N 001 02.000W,131.03,"N of clubhouse on Back Lane towards Southrope village where road goes east to Hale Farm.  If used for finishing, fit in with other circuit traffic and avoid flying South of the point except in the normal circuit pattern",0.6,N,Lasham,46765 14431,LAS,LAS
Latheron,LAT,A,A9/A99,255,58 17.014N 003 22.029W,,T junction in village.  Area RS610C to SW,13,SW,Wick,31993 93358,LAT,LAT
Launceston,LAU,A,A338 Bridge over A30,502,50 37.788N 004 21.031W,,"Flyover SE edge of town, two other rbts on A 30 1 & 3 NMl to W",31,WSW,Exeter,23386 08376,LAU,LAU
Longbridge Deverill,LBD,C,A350/B3095,341,51 09.999N 002 11.351W,,"Crossroads near town centre, 3 Ml S of Warminster",16,WNW,Salisbury,38687 14084,LBD,LBD
Loch Bradan E,LBE,A,E end of dam wall,1033,55 15.159N 004 27.768W,,NE end of water 5 NMl SW of Dalmellington. TMA to the N,33,WNW,Dumfries,24356 59815,LBE,LBE
Lambourn,LBN,A,B4000/B4507,394,51 30.480N 001 31.891W,,Crossroads in centre of village,10,NW,Newbury,43261 17889,LBN,LBN
Laggan Bridge,LBR,A,Spey Bridge,817,57 01.122N 004 17.021W,,"A86 over river at Laggan village, 5 NMl N of Dalwhinnie. Caution, rugged terrain",27,S,Inverness,26145 79427,LBR,LBR
Lochbuie,LBU,C,T junction,10,56 21.354N 005 52.365W,,Sea front SW side of village,14,W,Oban,16085 72491,LBU,LBU
Leighton Buzzard NE,LBZ,D#,Crossroads,331,51 56.040N 000 38.120W,,"1.5 NMl NE of town centre, used as Start Point for Dunstable competitions",4.5,NW,Dunstable,49392 22704,LBZ,LBZ
Llyn Celyn NW,LCE,G,GNSS point based on Lat/Long,1310,52 57.500N 003 43.500W,,Near A4212 bridge over Afon Gelyn river,37,NW,Shrewsbury,28422 34150,LCE,LCE
Lanchester,LCH,C,Mast,102,54 49.311N 001 42.956W,,750 ft mast 1 NMl E of town,11,SSW,Newcastle,41835 54748,LCH,LCH
Lower Clopton,LCL,D,N end of village street,195,52 06.509N 001 45.437W,,"Street joins B4632 S of Long Marston. N end of Cotswold Edge below the west side of Meon Hill, 3 NMl N of Chipping Campden.",15,W,Banbury,41672 24560,LCL,LCL
Lochindorb Castle,LDB,B,Castle on Island,971,57 24.352N 003 42.507W,,"In middle of Lochindorb water 7 Nml NNW of Grantown on Spey.  Hang glider site on hill to E. Caution, rugged terrain",18,ESE,Inverness,29745 83634,LDB,LDB
Laggan Dam,LDM,B,Dam wall,820,56 53.379N 004 40.408W,,"SW end of Loch Moy just S of A86, 8 NMl E of Spean Bridge. Caution, rugged terrain",14,ENE,Fort William,23723 78077,LDM,LDM
Loddon,LDN,C,Roundabout,50,52 32.040N 001 28.254E,,"Roundabout on A146 (Norwich/Beccles Road), W of Loddon Town. Norwich CTA/CTR 4km to North.",9,SE,Norwich,63550 29856,LDN,LDN
Lindores,LDR,B,A913/B937,246,56 20.313N 003 11.566W,,"SE of village, N side of Lindores Loch",10,SW,Dundee,32636 71688,LDR,LDR
Lochearnhead,LEA,A,A85/A84,161,56 23.132N 004 17.226W,,"Near village centre, W end of Loch Earn",19,NNW,Stirling,25889 72382,LEA,LEA
Lake Eiddew-bach,LEB,D,Small Lake,1247,52 53.443N 004 00.879W,,"W side of ridge 1 Nml W of 2044 ft spot height, 10 NMl NNW of Dolgellau",46,WNW,Shrewsbury,26456 33448,LEB,LEB
Ledbury,LED,C,A438/A417 R'bout,249,52 02.657N 002 26.155W,,"NW side of town, 200m S of rly, 700m W of stn.",10,E,Hereford,37020 23852,LED,LED
Leadenham,LEH,A,Old A17/A607,197,53 03.421N 000 34.960W,,"Village centre, between Cranwell & Newark, new bypass to S",10,S,Lincoln,49509 35202,LEH,LEH
Leicester M1 Services,LEI,A,M1 Services Bridge,299,52 37.123N 001 12.353W,,Br over M1 at Leicester Forest East Services.,3,WSW,Leicester,45386 30262,LEI,LEI
Leck,LEK,D,T Junction,344,54 11.225N 002 32.811W,,"N side of triangle of roads in Leck village, under Ireby Fell. 2.5 NMl SE of Kirby Lonsdale. Caution, rugged terrain",12,NE,Lancaster,36441 47695,LEK,LEK
Loch Eil West,LEL,A,Rail/A861 Br,33,56 51.559N 005 20.987W,,"West end of loch, rail crossing over A road 2 NMl E of Glenfinnan",8,W,Fort William,19588 77921,LEL,LEL
Leicester North,LEN,A,Rail Fork,374,52 41.946N 001 05.038W,,"Centre of Y shape rail fork, W side of Syston village.",4,N,Leicester,46200 31166,LEN,LEN
Leominster,LEO,A,A44/Rail,220,52 13.896N 002 44.002W,,Level Crossing on NE edge of Town.,10,N,Hereford,35001 25952,LEO,LEO
Loch Errochty East,LER,B,Dam wall centre,1100,56 45.874N 004 06.306W,,Start of Errochty river.  NE of Loch Rannoch,30,NW,Perth,27142 76564,LER,LER
Leicester South,LES,A,A 426 bridge over M1,315,52 32.155N 001 10.780W,,5 NMl N of Lutterworth,5,SSW,Leicester,45574 29343,LES,LES
Leighterton,LET,C,Church,571,51 37.090N 002 15.369W,,"Church in Village. 6nm S of Nympsfield, 7nm SW of Aston Down. E of A46, S of A4135.",18,SSW,Cheltenham,38236 19107,LET,LET
Lewes North,LEW,A#,Rail/A275,85,50 54.218N 000 00.558W,,"Level crossing, 2 NMl N of town.  Under TMA base 3500 ft",7,NE,Brighton,54007 11346,LEW,LEW
Leyburn,LEY,C,A6018/A684,151,54 18.492N 001 49.458W,,"E side of town, just E of church twr. 10 NMl W of Leeming A/F",15,SSW,Darlington,41153 49030,LEY,LEY
Leighton Buzzard,LEZ,A,A505/A4146,404,51 54.078N 000 38.912W,,"Roundabout on SSE side of town, clear of Luton Zone, often used as a start point by Dunstable gliders.",4,WNW,Dunstable,49308 22339,LEZ,LEZ
Lindisfarne Castle,LFC,A,Castle,26,55 40.139N 001 47.085W,,Castle on SE side of Holy Island,9,SE,Berwick,41364 64174,LFC,LFC
Llanfyllin,LFN,C,A490/B4391/B4393,194,52 46.151N 003 17.208W,,1 NMl W of village,20,W,Shrewsbury,31328 31984,LFN,LFN
Loch Laggan North East,LGG,B,Br over R Pattack,820,56 58.500N 004 24.295W,,S of A86 at Kinloch Laggan,24,ENE,Fort William,25392 78966,LGG,LGG
Lochgilphead,LGI,A,A83/A816,43,56 02.257N 005 26.489W,,"W side of town, W coast of Loch Fyne",24,WNW,Greenock,18571 68809,LGI,LGI
Loch Garry N,LGN,C,Small dam,1362,56 49.394N 004 13.504W,,"N end of loch near A9, 7 Nml S of Dalwhinnie.  Caution, rugged terrain",29,E,Fort William,26430 77240,LGN,LGN
Lochgoilhead,LGO,A,B839 river bridge,25,56 10.487N 004 54.195W,,N side of town 7 NMl SE of Inverary.  Look out for traffic on ADR NW of Glasgow,28,NW,Glasgow,21987 70181,LGO,LGO
Lismore,LIS,A,Lighthouse,39,56 27.332N 005 36.460W,,SW end of Lismore Island,5,NW,Oban,17780 73510,LIS,LIS
Littleport,LIT,A,A10/River Bridge,23,52 27.895N 000 19.293E,,NE of Town nr A1101 R'bt.  4 NNE of Ely.,16,NNE,Cambridge,55781 28775,LIT,LIT
Liskeard SE,LKD,A,A390 bridge over A38,395,50 27.001N 004 27.240W,,"Only bridge over A38 in junction with 4 roundabouts, SE of town",18,W,Plymouth,22588 06401,LKD,LKD
Llangollen,LLA,A,River Bridge,85,52 58.312N 003 10.206W,,Between A5 to S and A539 to N. Few Fields,20,NW,Shrewsbury,32152 34225,LLA,LLA
Llanbadarn,LLB,C,R Ithon Bridge,951,52 23.384N 003 19.666W,,just W of A483 on S side of Llanbadarn Fynydd village,28,SW,Shrewsbury,30974 27769,LLB,LLB
Llanfair Caereinion,LLC,C,B4389 Br over River,197,52 38.951N 003 19.577W,,"Over R. Banwy,  W side of town S of A458. Difficult fields",20,W,Shrewsbury,31037 30654,LLC,LLC
Llandovery,LLD,A,Station/A40 Bridge,715,51 59.747N 003 48.120W,,"Rail over A40 just NE of Stn, W side of town.",21,N,Swansea,27638 23457,LLD,LLD
Lleweni Parc,LLE,C#,Hangar,200,53 12.680N 003 23.500W,129.98,"White roofed hangar NW corner of Denbigh Gliding Club site, 2 Ml NE of Denbigh just S of A543/A541 junction.  Useful also as wave turn point",18,W,Chester,30716 36915,LLE,LLE
Llangynidr Bridge,LLG,A,B4560 Bridge,361,51 52.488N 003 13.984W,,"Bridge over river Usk  N side of Llangynidr village.  Caution, rugged terrain",22,SW,Hereford,31521 22030,LLG,LLG
Llanidloes,LLI,A,B4158 Bridge,535,52 27.058N 003 32.349W,,"Bridge over river Severn, N side of town.  Caution, rugged terrain",32,SW,Shrewsbury,29550 28478,LLI,LLI
Llanymynech,LLM,C,Golf Clubhouse,626,52 47.426N 003 05.424W,,"Llanymynech Golf Clubhouse, on the high ground 1nm N of Llanymynech, 0.4nm W of Pant. Just E of Offa's Dyke.",13,WNW,Shrewsbury,32657 32198,LLM,LLM
Llanrwst,LLN,B,Br over R Conwy,35,53 08.204N 003 47.841W,,SW side of town joining A470 to B5016.  Caution - nearby rugged terrain except to N,33,W,Chester,27986 36146,LLN,LLN
Llandeilo,LLO,A,Bridge,102,51 52.745N 003 59.739W,,"A483 bridge over river Tywi, S side of town",14,N,Swansea,26273 22194,LLO,LLO
Llantysilio,LLS,A#,A542/A5140/A525 R'bt,1120,53 03.012N 003 12.732W,129.98,"Site of N Wales GC is just W of the roundabout, 7 NMl W of Wrexham. Hawarden RMZ to East.",15,SW,Chester,31884 35101,LLS,LLS
Loch Lomond Tarbet,LLT,A,A82/A83,66,56 12.211N 004 42.657W,,"T Junction helf way up West side of loch, East of Tarbet station",16,N,Greenock,23193 70452,LLT,LLT
Llandrindod Wells,LLW,B,A44/A483,699,52 16.492N 003 20.233W,,"Roundabout at Crossgates, 3 NMl  NE of town",25,WNW,Hereford,30886 26492,LLW,LLW
Long Marston,LMA,D,R/Ws 22/16,154,52 08.491N 001 45.114W,,"Intersection of runways, N of airfield centre. Airfield under redevelopment for housing so Point may not always be visible. Probably not Landable or Accessable",15,WNW,Banbury,41708 24928,LMA,LMA
Lochmaben,LMB,A,A709/B7020,164,55 07.733N 003 26.484W,,T junction in centre of town,6,NE,Dumfries,30819 58256,LMB,LMB
Loch Mullardoch East,LMD,A#,Road T junction,660,57 20.445N 004 56.752W,,East end of Loch 600m E of dam wall,25,WSW,Inverness,22281 83164,LMD,LMD
Loch Morlich,LMO,D,Clubhouse,984,57 10.061N 003 42.135W,,"Sailing Club Clubhouse NE side of loch, 7 NMl NE of Feshiebridge",25,SE,Inverness,29716 80982,LMO,LMO
Ledmore,LMR,A,A835/A837,475,58 03.995N 004 58.344W,,T junction at Ledmore village,12,NNE,Ullapool,22476 91247,LMR,LMR
Loch Muick,LMU,C,Glas-Allt-Shiel House,1476,56 55.656N 003 11.458W,,"Centre of house surrounded by semi-circular wood, North shore of West end of Loch",28,NNW,Dundee,32761 78244,LMU,LMU
Leominster NW,LMW,A#,A4110/B4362,322,52 16.058N 002 50.659W,,"At Mortimer's Cross on edge of Shobdon ATZ, 2 NMl NE of airfield. Avoid Shobdon traffic",13,NNW,Hereford,34248 26361,LMW,LMW
Loch Moy,LMY,D,Castle,656,57 22.932N 004 02.234W,,Centre of ruined castle on island in loch Moy,8,SE,Inverness,27762 83425,LMY,LMY
Lichfield NE,LNE,A#,A38/A513,213,52 43.601N 001 44.795W,,"A513 bridge over A38 between two roundabouts at Alrewas, 3 NMl NE of Lichfield. Between Birmingham and E Midlands CTAs",15,SW,Derby,41721 31437,LNE,LNE
Lochailort,LOA,A,A830/A861,65,56 52.680N 005 39.983W,,T junct in village bet Ft William and Isle of Eigg,19,W,Fort William,17670 78228,LOA,LOA
Lockerbie,LOC,A,A74(M)/A709,165,55 07.131N 003 21.702W,,"A709 br over A74(M), W side of town",9,ENE,Dumfries,31325 58134,LOC,LOC
Linn of Dee,LOD,A,Road Br over River,1214,56 59.293N 003 32.735W,,River Dee Be at hairpin bend in road 5 NMl W of Braemar,47,WSW,Aberdeen,30618 78962,LOD,LOD
Loch Gairloch SE,LOG,A,A382/B8056,75,57 41.629N 005 39.412W,,T junction at Kerrysdale village,15,SW,Ullapool,18216 87299,LOG,LOG
Loch Laidon Island,LOI,A,Triangular island,935,56 38.862N 004 39.312W,,Eilean Lubhair island 4NMl SW of Rannoch station,31,ENE,Oban,23730 75381,LOI,LOI
Loch Kinord,LOK,B,Centre of Island,492,57 05.046N 002 55.493W,,Island 100 metres long on N side of loch,27,WSW,Aberdeen,34404 79961,LOK,LOK
Loch Lochy North East,LOL,B,A82 Br over Caledonian Canal,120,57 02.661N 004 48.227W,,Between Loch Lochy and Loch Oich,16,NE,Fort William,23000 79830,LOL,LOL
Lake of Menteith,LOM,D,Castle,43,56 10.466N 004 18.105W,,Castle is on small island at W end of lake,13,WNW,Stirling,25720 70036,LOM,LOM
Longleat,LON,B,Bridge over Lake,322,51 11.090N 002 16.343W,,250m SE of Longleat House 4 NMl WSW of Warminster.,12,SSE,Bath,38106 14288,LON,LON
Loch Quoich East,LOQ,B,Power house under dam wall,570,57 04.284N 005 11.023W,,Far east end of loch,15,NNW,Fort William,20710 80232,LOQ,LOQ
Louth,LOU,A,A631/A157,56,53 21.859N 000 02.039W,,Y shaped junction West of town,20,ENE,Lincoln,53092 38707,LOU,LOU
Lowick,LOW,A,A5084/A5092,164,54 15.465N 003 04.700W,,"T junction at Lowick village, 5 NMl N of Ulverston",15,NW,Lancaster,32985 48521,LOW,LOW
Little Rissington,LRI,A#,Control Tower,730,51 52.178N 001 41.680W,120.775,N side of A/F with ATC gliding activity,15,E,Cheltenham,42112 21905,LRI,LRI
Lanark,LRK,A#,A72/River Br,49,55 40.554N 003 48.097W,,W of 2 bridges over river Clyde 1 NMl W of town. TMA to N,18,SE,Glasgow,28680 64396,LRK,LRK
Llansannan,LSA,C,A544/Minor Road Junction,549,53 10.714N 003 35.832W,,Junction of A544 with Minor Road (to South) in Village Centre.,25,W,Chester,29335 36580,LSA,LSA
Llandysul,LSL,B#,A486 Bridge,213,52 02.314N 004 18.756W,,Bridge over river Teifi S side of town.  Avoid Aberporth danger area when active,27,NNW,Swansea,24148 24032,LSL,LSL
Loch Seilich N,LSN,D,Dam wall,1247,56 58.046N 004 02.195W,,"N end of loch Seilich 9 Nml SSW of Club at Feshie.  Caution, rugged terrain",32,S,Inverness,27628 78809,LSN,LSN
Liss,LSS,A,A3/B3006 r'bout,236,51 03.579N 000 53.987W,,N side of town 4 NMl NE of Petersfield.,9,SSE,Lasham,47720 12950,LSS,LSS
Long Sutton,LSU,A,A17/B1390,7,52 46.591N 000 06.815E,,Roundabout S side of town between Kings Lynn and Spalding,19,NE,Peterborough,54267 32198,LSU,LSU
Lincoln Southwest,LSW,A,A46 Br over Rail,154,53 11.493N 000 37.496W,,SW of city near three small lakes,3,SW,Lincoln,49197 36693,LSW,LSW
Langtoft,LTF,B#,T-junction,230,54 05.047N 000 27.364W,,"S side of village on B1249 1NMl S of grass airfield at Eddsfield, 9 NMl W of Bridlington",24,ESE,York,50110 46646,LTF,LTF
Longtown,LTN,B,Bridge over R Esk,45,55 00.624N 002 58.485W,,NW side of town,6,N,Carlisle,33776 56886,LTN,LTN
Ludlow,LUD,C,"Castle, Inner Bailey",299,52 22.056N 002 43.424W,,"Centre of Inner Bailey walls, NW side of castle outer walls. W side of town on E bank of river.",18,N,Hereford,35082 27464,LUD,LUD
Luncarty,LUN,A,A9/B9099/B8063,299,56 26.855N 003 28.347W,,Roundabout W of village near railway,4,N,Perth,30933 72935,LUN,LUN
Lussa Loch S,LUS,B,Tower in water at S end of dam,425,55 29.840N 005 37.725W,,4 Nml NE Campbeltown airfield,50,SW,Glasgow,17090 62860,LUS,LUS
Lutterworth,LUT,A,M1 J20/A427,400,52 26.987N 001 11.502W,,SE side of town.,10,S,Leicester,45503 28384,LUT,LUT
Loch Venachar,LVE,D,E end Water Works,43,56 13.713N 004 15.706W,,"S of A821, 2 NMl SW of Callander",13,NW,Stirling,25988 70630,LVE,LVE
Lavenham,LVN,C,Church,226,52 06.387N 000 47.484E,,"SW of village centre, 6 NMl W of Wattisham airfield.",13,WNW,Ipswich,59126 24902,LVN,LVN
Low Lorton,LWL,B,Bridge,233,54 37.127N 003 18.904W,,Minor road bridge over river Cocker W side of village.  3 NMl SE of Cockermouth,20,SW,Carlisle,31518 52564,LWL,LWL
Lewes nw,LWN,D,Offham Church Tower,92,50 53.522N 000 00.596W,,NW side of town.  TP at bottom of South Downs ridge,6,NE,Brighton,54006 11217,LWN,LWN
Llwyngwril Bridge,LYB,A,River Bridge,22,52 39.938N 004 05.054W,,"A493 over River Gryll, 5 Nml SSW of Barmouth, SW end of Cader Idris ridge",44,W,Shrewsbury,25915 30959,LYB,LYB
Leyland North East,LYD,A,M65 (J1) flyover over M6 (J29),197,53 42.955N 002 39.682W,,"2NML NE of Leyland, 400m S of A6 r'bt",21,S,Lancaster,35645 42459,LYD,LYD
Lyneham a/f,LYN,A#,24/30 intersection,472,51 30.459N 001 59.737W,,Centre of disused airfield that may be re-activated by NOTAM,9,SW,Swindon,40040 17875,LYN,LYN
Ladybower Reservoir,LYR,A,A57/A6013,853,53 22.431N 001 41.861W,,"T-junction 0.5 NMl N of dam wall, 4.5 NMl N of Camphill gliding site",24,WSW,Doncaster,42021 38638,LYR,LYR
Lyveden,LYV,D#,Hangar,279,52 27.949N 000 35.008W,129.98,"NW side of Welland GC site, 6 NMl NE of Kettering.",17,NE,Northampton,49633 28626,LYV,LYV
Machynlleth Station,MAC,B,Rail Station,35,52 35.715N 003 51.282W,,N side of town on A487 towards river Dovey,41,W,Shrewsbury,27447 30133,MAC,MAC
Market Deeping,MAD,A,A15/A16 R'bout,128,52 41.175N 000 19.579W,,"N side of town, between Bourne and Peterborough.  Wittering approach traffic to the South",6,NNW,Peterborough,51323 31115,MAD,MAD
Marlborough E,MAE,C,Bridge,387,51 25.439N 001 40.437W,,"Middle of three bridges over river Kennet 2NMl E of Marlborough. At Stitchcombe village, road goes S to the A4 and Savernake Forest",9,SE,Swindon,42277 16949,MAE,MAE
Market Harborough,MAH,C,Station/A427 Bridge,308,52 28.733N 000 54.588W,,"S end of Station, E side of Town, 6 NMl E of HusBos.",11,SE,Leicester,47414 28733,MAH,MAH
Maidstone East,MAI,C,Leeds Castle N side,374,51 14.979N 000 37.825E,,"N tip of castle in lake, 1 NMl SE of M20 J8",4,ESE,Maidstone,58367 15334,MAI,MAI
Malton,MAL,C,Station,174,54 07.904N 000 47.760W,,"SW of town centre, S of river Derwent & a church with spire",4,NE,York,47877 47132,MAL,MAL
Malmesbury,MAM,A,A429/B4040 R'bout,269,51 35.449N 002 05.341W,,"Roundabout near water tower, NE of town.",12,W,Swindon,39393 18800,MAM,MAM
Manton,MAN,A,A6003/Rail Bridge,338,52 38.185N 000 42.294W,,Village in SW corner of Rutland water.,15,E,Leicester,48774 30508,MAN,MAN
Marlborough,MAR,C,A345/River Bridge,430,51 24.978N 001 43.975W,,"SW of town, W of two bridges over river Kennet.",16,W,Newbury,41867 16862,MAR,MAR
Masham,MAS,C,A6108/River Bridge,85,54 13.574N 001 39.309W,,Bridge over river Ure on NE side of town. 6 SW of Leeming,24,NW,York,42258 48122,MAS,MAS
Matlock,MAT,C,A6/A632/A615,236,53 08.300N 001 33.342W,,"Roundabout near town centre, NE of old Station",12,N,Derby,42982 36022,MAT,MAT
Market Weighton,MAW,A,A163/A1079,62,53 52.435N 000 41.954W,,1 NMl NW of town,15,ESE,York,48562 44275,MAW,MAW
Mablethorpe,MBL,B,A52/A1104,10,53 20.515N 000 15.704E,,T junction in town centre near beach,30,ENE,Lincoln,55067 38516,MBL,MBL
Market Bosworth,MBO,A,A447/B585,443,52 37.502N 001 22.613W,,Crossroads E of village 5 NMl N of Hinckley.  Under CTA FL45,9,W,Leicester,44228 30321,MBO,MBO
Montford Bridge,MBR,A,Runway intersection,240,52 44.908N 002 50.610W,,Disused airfield NW of Shrewsbury,5,NW,Shrewsbury,34316 31709,MBR,MBR
Melbury Bubb,MBU,A,A37/Rail,541,50 50.249N 002 34.683W,,A37 over rail S of village,7,SSE,Yeovil,35939 10438,MBU,MBU
